iter	Passed	Remaining
472	782	871
473	783	869
474	785	868
475	787	866
476	788	864
477	790	863
478	791	861
479	792	858
480	794	857
481	796	856
482	798	854
483	800	853
484	802	852
485	804	850
486	805	848
487	807	846
488	808	844
489	811	844
490	813	843
491	815	841
492	816	839
493	818	838
494	820	836
495	821	834
496	822	832
497	827	834
498	829	832
499	831	831
500	833	829
501	834	827
502	836	826
503	837	824
504	840	823
505	842	822
506	844	821
507	846	819
508	848	818
509	850	817
510	851	815
511	853	813
512	856	813
513	858	811
514	860	810
515	861	808
516	863	806
517	865	805
518	867	804
519	870	803
520	872	802
521	874	800
522	876	798
523	877	797
524	879	795
525	881	794
526	884	793
527	887	792
528	889	791
529	890	789
530	892	788
531	893	786
532	895	784
533	896	782
534	898	781
535	901	780
536	903	778
537	905	777
538	906	775
539	907	773
540	909	771
541	910	769
542	913	768
543	915	767
544	917	766
545	919	764
546	921	762
547	922	761
548	924	759
549	926	757
550	929	757
551	931	756
552	933	754
553	935	752
554	936	751
555	938	749
556	940	747
557	942	746
558	944	745
559	946	743
560	948	742
561	950	740
562	951	738
563	953	737
564	955	735
565	958	734
566	960	733
567	962	732
568	964	730
569	966	729
570	968	727
571	970	725
572	971	724
573	974	723
574	977	722
575	978	720
576	980	718
577	982	717
578	983	715
579	985	713
580	988	712
581	990	711
582	992	709
583	994	708
584	995	706
585	997	704
586	998	702
587	1000	700
588	1002	699
589	1004	698
590	1006	696
591	1007	694
592	1009	692
593	1010	690
594	1012	688
595	1013	686
596	1014	685
597	1016	683
598	1018	682
599	1020	680
600	1022	678
601	1023	676
602	1024	674
603	1026	672
604	1027	671
605	1029	669
606	1031	668
607	1035	667
608	1036	665
609	1037	663
610	1039	661
611	1040	659
612	1042	658
613	1043	656
614	1045	654
615	1047	652
616	1048	650
617	1050	649
618	1051	647
619	1052	645
620	1054	643
621	1055	641
622	1057	639
623	1059	638
624	1061	636
625	1063	635
626	1064	633
627	1066	631
628	1067	629
629	1069	628
630	1070	626
631	1072	624
632	1073	622
633	1075	620
634	1077	619
635	1079	617
636	1080	615
637	1082	614
638	1083	612
639	1084	610
640	1086	608
641	1087	606
642	1088	604
643	1091	603
644	1093	601
645	1094	599
646	1095	597
647	1097	595
648	1098	594
649	1100	592
650	1101	590
651	1103	588
652	1106	587
653	1107	586
654	1109	584
655	1111	582
656	1113	581
657	1115	579
658	1117	578
659	1118	576
660	1121	574
661	1123	573
662	1125	571
663	1126	570
664	1128	568
665	1130	566
666	1132	565
667	1133	563
668	1136	562
669	1138	560
670	1140	559
671	1141	557
672	1143	555
673	1145	553
674	1146	552
675	1148	550
676	1151	549
677	1153	547
678	1155	546
679	1156	544
680	1158	542
681	1159	540
682	1161	539
683	1163	537
684	1166	536
685	1168	534
686	1169	532
687	1171	531
688	1172	529
689	1174	527
690	1176	525
691	1177	524
692	1179	522
693	1181	520
694	1182	519
695	1184	517
696	1186	515
697	1188	514
698	1189	512
699	1191	510
700	1194	509
701	1196	507
702	1197	506
703	1199	504
704	1200	502
705	1202	500
706	1203	498
707	1205	497
708	1207	495
709	1209	494
710	1210	492
711	1212	490
712	1214	488
713	1215	486
714	1216	484
715	1218	483
716	1220	481
717	1222	480
718	1224	478
719	1225	476
720	1227	474
721	1228	473
722	1229	471
723	1231	469
724	1232	467
725	1234	465
726	1235	464
727	1238	462
728	1240	460
729	1241	459
730	1243	457
731	1245	455
732	1246	454
733	1248	452
734	1251	451
735	1254	450
736	1256	448
737	1258	446
738	1259	444
739	1261	443
740	1264	441
741	1266	440
742	1268	438
743	1270	437
744	1272	435
745	1274	434
746	1276	432
747	1278	430
748	1280	429
749	1283	427
750	1286	426
751	1288	424
752	1290	423
753	1292	421
754	1293	419
755	1295	418
756	1297	416
757	1299	414
758	1303	413
759	1306	412
760	1307	410
761	1311	409
762	1316	408
763	1318	407
764	1319	405
765	1321	403
766	1323	401
767	1325	400
768	1328	399
769	1330	397
770	1332	395
771	1334	394
772	1336	392
773	1337	390
774	1340	389
775	1343	387
776	1346	386
777	1347	384
778	1349	382
779	1351	381
780	1353	379
781	1356	378
782	1358	376
783	1360	374
784	1362	373
785	1364	371
786	1366	369
787	1367	367
788	1369	366
789	1372	364
790	1375	363
791	1376	361
792	1378	359
793	1380	358
794	1382	356
795	1384	354
796	1389	353
797	1391	352
798	1392	350
799	1394	348
800	1395	346
801	1397	344
802	1400	343
803	1403	342
804	1405	340
805	1407	338
806	1409	337
807	1411	335
808	1413	333
809	1416	332
810	1418	330
811	1420	328
812	1422	327
813	1424	325
814	1425	323
815	1427	321
816	1429	320
817	1431	318
818	1433	316
819	1435	315
820	1436	313
821	1438	311
822	1440	309
823	1441	307
824	1443	306
825	1446	304
826	1448	302
827	1450	301
828	1452	299
829	1453	297
830	1454	295
831	1456	294
832	1458	292
833	1460	290
834	1462	289
835	1464	287
836	1466	285
837	1467	283
838	1469	281
839	1470	280
840	1472	278
841	1475	276
842	1477	275
843	1479	273
844	1480	271
845	1482	269
846	1484	268
847	1485	266
848	1487	264
849	1490	263
850	1492	261
851	1494	259
852	1495	257
853	1497	255
854	1498	254
855	1500	252
856	1502	250
857	1504	248
858	1506	247
859	1508	245
860	1510	243
861	1512	242
862	1514	240
863	1517	238
864	1520	237
865	1522	235
866	1524	233
867	1526	232
868	1528	230
869	1529	228
870	1531	226
871	1533	225
872	1535	223
873	1537	221
874	1539	219
875	1540	218
876	1542	216
877	1544	214
878	1546	212
879	1548	211
880	1550	209
881	1552	207
882	1554	205
883	1556	204
884	1557	202
885	1559	200
886	1561	198
887	1563	197
888	1564	195
889	1566	193
890	1567	191
891	1569	190
892	1571	188
893	1573	186
894	1576	184
895	1578	183
896	1580	181
897	1581	179
898	1583	177
899	1585	176
900	1587	174
901	1591	172
902	1594	171
903	1597	169
904	1599	167
905	1600	166
906	1602	164
907	1605	162
908	1608	161
909	1611	159
910	1612	157
911	1614	155
912	1616	154
913	1618	152
914	1620	150
915	1624	148
916	1626	147
917	1628	145
918	1630	143
919	1632	141
920	1633	140
921	1637	138
922	1639	136
923	1641	134
924	1642	133
925	1644	131
926	1646	129
927	1647	127
928	1650	126
929	1652	124
930	1655	122
931	1658	121
932	1660	119
933	1662	117
934	1665	115
935	1668	114
936	1670	112
937	1671	110
938	1674	108
939	1676	106
940	1677	105
941	1681	103
942	1683	101
943	1685	99
944	1686	98
945	1689	96
946	1690	94
947	1692	92
948	1695	91
949	1698	89
950	1701	87
951	1702	85
952	1704	84
953	1706	82
954	1709	80
955	1712	78
956	1715	77
957	1716	75
958	1719	73
959	1720	71
960	1722	69
961	1725	68
962	1728	66
963	1730	64
964	1732	62
965	1734	61
966	1735	59
967	1737	57
968	1739	55
969	1743	53
970	1745	52
971	1747	50
972	1748	48
973	1751	46
974	1753	44
975	1757	43
976	1759	41
977	1760	39
978	1762	37
979	1765	36
980	1769	34
981	1772	32
982	1774	30
983	1776	28
984	1778	27
985	1780	25
986	1783	23
987	1785	21
988	1787	19
989	1790	18
990	1791	16
991	1793	14
992	1795	12
993	1796	10
994	1800	9
995	1803	7
996	1804	5
997	1806	3
998	1808	1
999	1809	0
